MLS_Number,Street_Number,Street_Name,Unit,City,Price,PSF,Area,Subdivision,Market_Area,Building_SF,Bedrooms,Baths,Stories,DOM
10307209,805,Dorothy,B,Houston,3000,1.59,9,Totos Retreat/Dorothy,Heights,1888,2,2.1,2,38
6899926,758,Nicholson,,Houston,2900,1.59,9,Waterhill Homes/Hts,Heights,1824,3,3,3,46
85428235,1205,10th,,Houston,1000,1.6,9,West Heights,Heights,624,1,1,1,98
35454835,1021,26th,,Houston,4200,1.6,9,Sunset Heights,Heights,2626,4,3.1,3,25
50544749,1008,Northwood,,Houston,3000,1.6,9,Brooke Smith,Heights,1874,3,2,1,25
25205796,935,Byrne,17,Houston,1200,1.6,9,John Austin Surv Abs 1,Heights,750,1,1,1,92
92407330,837,Peddie,B,Houston,1250,1.6,9,RIDGEWOOD,Heights,780,1,1,1,88
31801338,730,Shepherd,,Houston,3200,1.6,9,Park Place/Hts,Heights,1995,3,3.1,4,9
82068994,1603,Heights,15,Houston,1450,1.61,9,Heights Blvd Condo Corr,Heights,900,2,1,1,21
80835804,719,21st,,Houston,1050,1.61,9,Bartholomew Place,Heights,652,2,1,2,23
46300476,204,Tabor,,Houston,1500,1.61,9,Priscilyly Village,Heights,932,2,1,1,4
43355105,1521,Rutland,5,Houston,945,1.62,9,Houston Heights,Heights,585,1,1,2,117
13083976,1309,Blair,3,Houston,950,1.62,9,Houston Heights Annex,Heights,588,1,1,,16
46490153,1309,Blair,2,Houston,950,1.62,9,Houston Heights Annex,Heights,588,1,1,,21
39459668,806,Northwood,,Houston,2800,1.62,9,Brooke Smith,Heights,1729,3,2,1,15
77295521,614,28th,1,Houston,1295,1.62,9,Houston Heights,Heights,800,2,1,1,56
29968661,543,27th,F,Houston,975,1.62,9,Houston Heights,Heights,600,1,1,1,9
90701626,1531,Harvard,,Houston,3800,1.63,9,Houston Heights,Heights,2331,3,3,1,23
86538029,1023,7th 1/2,,Houston,2000,1.63,9,Kiam Place,Heights,1224,3,2,1,65
59779140,930,Tulane,4,Houston,895,1.63,9,Houston Heights,Heights,550,1,1,1,31
81829083,910,Enid,,Houston,1700,1.63,9,Brooke Smith,Heights,1040,2,1,1,18
77282515,824,19th,A,Houston,895,1.63,9,Houston Heights,Heights,550,1,1,1,59
84945900,203A,Northwood,A,Houston,1450,1.64,9,Brooke Smith Add,Heights,884,2,1,,2
94034204,1512,Yale,A,Houston,4200,1.64,9,Falcon Heights,Heights,2568,3,3.1,4,4
49018061,1443,Nashua,,Houston,3200,1.64,9,Heights Anx,Heights,1946,3,2.1,2,26
55493060,1125,27th,,Houston,1100,1.64,9,Sunset Heights Sec 01 Ext,Heights,672,1,1,1,43
53121743,749,Dorothy,,Houston,2850,1.64,9,Park Place in the Heights,Heights,1736,3,3,3,56
35914555,427,16,10,Houston,1350,1.64,9,Houston Heights,Heights,825,2,1,1,29
68662801,427,16,3,Houston,1350,1.64,9,Houston Heights,Heights,825,2,1,1,5
92201549,233,25th,,Houston,5445,1.64,9,Houston Heights,Heights,3313,3,3.1,2,6
32442876,3209,Florence,,Houston,925,1.65,9,Woodland Heights,Heights,561,1,1,,83
71658899,1127,Walling,GA,Houston,999,1.65,9,North Norhill,Heights,606,1,1,,126
24169608,216 1/2,Munford,,Houston,995,1.66,9,Milroy Place,Heights,600,1,1,,12
98946655,1860,White Oak,385,Houston,1200,1.67,9,White Oak Condo,Heights,718,1,1,1,84
43520948,1801,Cortlandt,17,Houston,975,1.67,9,HOUSTON HEIGHTS,Heights,585,1,1,1,7
88649493,1801,Cortlandt,7,Houston,975,1.67,9,HOUSTON HEIGHTS,Heights,585,1,1,1,26
69695315,803,Ashland Street,B,Houston,1500,1.67,9,Houston Heights,Heights,900,1,1,2,44
12673502,705,E 11 1/2,,Houston,2150,1.67,9,Stude Sec 02,Heights,1288,3,1.1,1,12
84732455,123,Parkview,,Houston,1750,1.67,9,Highland,Heights,1048,2,1,1,21
32651646,1415,Prince,A,Houston,1595,1.68,9,Heights,Heights,950,2,1,,2
11314822,1316,Heights,2,Houston,925,1.68,9,HOUSTON HEIGHTS,Heights,550,1,1,1,6
71837004,1222,Heights,3,Houston,1050,1.68,9,Houston Heights Add,Heights,625,1,1,1,100
61388058,840,24th,,Houston,1675,1.68,9,Sunset Heights,Heights,1000,2,1,1,10
6846862,719,East 20th,A,Houston,1625,1.68,9,GOSTICK,Heights,970,2,2,1,43
96207903,427,16,16,Houston,950,1.68,9,Houston Heights,Heights,565,1,1,,43
41954921,1880,White Oak,113,Houston,1350,1.69,9,White Oak Condo Ph 01,Heights,800,2,1,1,51
36711562,1539,Blair,,Houston,3250,1.69,9,Houston Heights Annex Amd R P,Heights,1920,3,2.1,2,14
20544536,1307,Walton,,Houston,2600,1.69,9,Brooke Smith Add 02,Heights,1536,3,3,1,4
62131929,1024,Fugate,,Houston,1595,1.69,9,North Norhill,Heights,942,1,1,1,27
6023459,1022,Fugate,,Houston,1595,1.69,9,North Norhill,Heights,942,1,1,1,63
53466266,1801,Cortlandt,9,Houston,950,1.7,9,Houston Heights,Heights,560,1,1,1,117
39013213,815,Sledge,,Houston,4200,1.7,9,Woodland Terrace,Heights,2477,4,3,2,11
12107599,428,Pecore,A,Houston,1200,1.7,9,Dereks Villas,Heights,705,1,1,2,18
24003847,949,Teetshorn,4,Houston,1195,1.71,9,Ridgemont Sec 01,Heights,700,1,1,2,40
23405728,513,Ridge,21,Houston,1025,1.71,9,Woodland Heights,Heights,600,1,1,2,47
34062360,425,Heights,3,Houston,1195,1.71,9,Houston Heights,Heights,700,1,1,2,15
69724859,317,26th,,Houston,1695,1.71,9,Heights,Heights,993,2,1,1,23
70393635,1880,White Oak,149,Houston,1400,1.72,9,White Oak Condo,Heights,812,2,1,1,48
32617055,1860,White Oak,363,Houston,1400,1.72,9,White Oak Condo,Heights,812,2,1,2,4
35400636,829,Pizer,,Houston,1195,1.73,9,EAST NORHILL,Heights,692,1,1,1,6
28599369,229,25th,,Houston,5850,1.73,9,Houston Heights,Heights,3379,4,3.1,2,8
52152648,218,15th,N,Houston,1300,1.73,9,Houston Heights,Heights,750,1,1,,11
15271090,218,15th,P,Houston,1300,1.73,9,Houston Heights,Heights,750,1,1,,24
97496586,1009,Enid,3,Houston,1025,1.74,9,Brooke Smith,Heights,589,1,1,2,60
17298386,730,8th,,Houston,1900,1.74,9,Stude Sec 02,Heights,1089,2,1,1,26
49479326,126,North,A,Houston,1395,1.74,9,Grota Home,Heights,800,2,1,1,11
4760840,1309,Blair,5,Houston,1049,1.75,9,Houston Heights Annex,Heights,600,1,1,2,31
75994741,1250,Nicholson,,Houston,4200,1.75,9,HOUSTON HEIGHTS,Heights,2398,3,2.1,2,6
51895754,1135,Woodland,B,Houston,1250,1.75,9,Norhill Add,Heights,715,1,1,2,42
73128799,310,13th,,Houston,2200,1.75,9,Houston Heights,Heights,1256,2,1,1,6
92318965,1305,Idylwild,A,Houston,1495,1.76,9,Idylwild,Heights,850,2,1,1,16
33002032,835,Heights,38,Houston,1500,1.76,9,Houston Heights,Heights,850,2,1,1,109
98444019,608,26th,,Houston,1750,1.76,9,Sunset Heights,Heights,994,2,1,1,29
35334745,2528,Brinkman,,Houston,2350,1.77,9,Shady Acres,Heights,1328,3,2,1,2
79256824,1880,White Oak,110,Houston,1975,1.77,9,White Oak Condo Ph 01,Heights,1117,3,2,1,47
84643490,938,Algregg,,Houston,1195,1.77,9,Bova,Heights,675,1,1,1,36
66612108,835,Heights,39,Houston,1425,1.77,9,Houston Heights,Heights,805,2,1,1,97
89885809,835,Heights,17,Houston,1425,1.77,9,Houston Heights,Heights,805,2,1,1,120
93975908,1860,White Oak,240,Houston,1275,1.78,9,White Oak Condo Ph 02,Heights,718,1,1,1,22
45596556,1438,Dian,,Houston,1850,1.78,9,HEIGHTS ANNEX,Heights,1040,2,2,1,176
53511234,1309,Blair,8,Houston,1049,1.78,9,Houston Heights Annex,Heights,588,1,1,2,6
23496778,624,26th,A,Houston,1600,1.78,9,NA,Heights,900,2,1.1,2,20
62462190,616,12th,,Houston,3100,1.78,9,Houston Heights,Heights,1745,2,2,,20
67669252,1801,Cortlandt,5,Houston,1275,1.79,9,Houston Heights,Heights,714,2,1,1,31
11588729,1530,Heights,24,Houston,950,1.79,9,HOUSTON HEIGHTS,Heights,530,1,1,1,60
42292036,931,Adele,,Houston,3100,1.79,9,Pineridge,Heights,1736,3,2,1,49
10908414,1548,Ashland,1,Houston,1350,1.8,9,Houston Heights,Heights,750,1,1,2,3
62058285,1548,Ashland,5,Houston,1350,1.8,9,Houston Heights,Heights,750,1,1,1,4
15924270,218,15th,O,Houston,1350,1.8,9,Houston Heights,Heights,750,1,1,,10
81913059,1139.5,Harvard,,Houston,1050,1.81,9,HOUSTON HEIGHTS,Heights,580,1,1,1,107
97075300,1138,Algregg,,Houston,1995,1.81,9,North Norhill,Heights,1100,2,2,1,15
10072172,1028,17th,,Houston,2450,1.81,9,Shady Acres Ext Sec 03,Heights,1356,3,1,1,36
10924055,2714,Reagan,,Houston,1200,1.82,9,Woodland Terrace,Heights,660,1,1,2,58
25588729,1116,Columbia,,Houston,2750,1.82,9,Houston Heights,Heights,1513,3,2,1.5,7
41898025,531,Harvard,,Houston,4500,1.82,9,Houston Heights,Heights,2472,3,2.1,2,20
51496428,524,Frasier,,Houston,2200,1.82,9,Heights,Heights,1212,2,1,1,1
98041975,414,18th,,Houston,2350,1.82,9,Houston Heights,Heights,1288,2,1,1,18
65192319,414,18th,,Houston,2350,1.82,9,Houston Heights,Heights,1288,2,1,1,19
19900336,1427.5,Rutland,1,Houston,1000,1.83,9,HOUSTON HEIGHTS,Heights,545,1,1,2,18
13240356,513,Ridge,10,Houston,1100,1.83,9,Woodland Heights,Heights,600,1,1,2,14
42313196,513,Ridge,11,Houston,1100,1.83,9,Woodland Heights,Heights,600,2,1,2,33
76203922,803,16th,,Houston,1795,1.84,9,Houston Heights,Heights,977,2,1,1,24
44846090,720,13th,,Houston,4500,1.84,9,John Austin Surv Abs #1,Heights,2442,3,3,1,20
7961954,2203,Gostick,,Houston,2500,1.85,9,Gostick,Heights,1350,2,1,1,55
68577707,725,Teetshorn,A,Houston,1295,1.85,9,Woodland Heights,Heights,700,1,1,2,62
88169192,1512,Arlington,,Houston,2300,1.86,9,Houston Heights,Heights,1235,2,1,1,3
84226936,717,20th,,Houston,1675,1.86,9,Gostick,Heights,900,2,2,1,23
89327234,1309,Blair,6,Houston,1099,1.87,9,Houston Heights Annex,Heights,588,1,1,2,3
80675490,1309,Blair,5,Houston,1099,1.87,9,Houston Heights Annex,Heights,588,1,1,2,9
4516238,1309,Blair Street,9,Houston,1099,1.87,9,Houston Heights Annex,Heights,588,1,1,,7
34356214,1124,Dunbar,,Houston,2300,1.87,9,North Norhill,Heights,1227,2,1,1,7
92132441,518,14th,,Houston,2200,1.87,9,Houston Heights,Heights,1176,2,2,1,8
65970122,1232,Columbia,,Houston,2600,1.88,9,Houston Heights,Heights,1386,2,2,1,2
97502346,1111,Dorothy,,Houston,2400,1.88,9,West Heights,Heights,1275,2,1,1,21
44549073,1109,Walton,,Houston,1125,1.88,9,Brooke Smith,Heights,600,1,1,1,25
47580100,620,22nd,,Houston,2700,1.88,9,Houston Heights,Heights,1436,3,2,1,8
73674955,427,16,8,Houston,1225,1.88,9,Houston Heights,Heights,650,1,1,,93
35754241,721,Usener,,Houston,2600,1.89,9,Woodland Terrace,Heights,1375,2,1,1,44
27664842,643,Rutland,,Houston,5500,1.89,9,Houston Heights,Heights,2913,4,2.1,2,12
58238687,1222,Arlington,,Houston,2175,1.91,9,Houston Heights,Heights,1136,3,1,1,13
59976566,808,Fugate,,Houston,2300,1.91,9,East Norhill,Heights,1204,2,2,1,16
33869938,835,Heights,26,Houston,1125,1.92,9,Houston Heights,Heights,585,1,1,1,39
294835,835,Heights,33,Houston,1125,1.92,9,Houston Heights,Heights,585,1,1,1,154
18228197,541,22nd,,Houston,4800,1.93,9,Houston Heights,Heights,2488,3,3,2,9
41089211,1243 1/2,Ashland,,Houston,1150,1.94,9,Houston Heights Add,Heights,592,1,1,1,27
48842369,926,Allston,B,Houston,1050,1.94,9,Houston Heights,Heights,540,1,1,1,13
30781481,728,Le Green,,Houston,3250,1.94,9,Ridgewood,Heights,1672,3,2.1,2,46
79216027,234,27th,4,Houston,975,1.95,9,Houston Heights,Heights,500,1,1,1,26
38515194,1115,Omar,A,Houston,1100,1.97,9,Norhill Add,Heights,558,1,1,1,15
79458863,835,Heights,25,Houston,1150,1.97,9,Houston Heights,Heights,585,1,1,1,15
70374589,507,Cordell,,Houston,2000,1.97,9,Brooke Smith Add,Heights,1017,2,2,1,115
92603504,217,12th,1,Houston,1295,1.97,9,Houston Heights,Heights,657,2,1,1,57
33840504,1124,Heights,,Houston,2750,1.98,9,Houston Heights,Heights,1386,2,2,2,64
88275105,1502,Heights,15,Houston,995,1.99,9,Houston Heights,Heights,500,1,1,1,28
81797099,516,A E 24th Street,,Houston,1245,1.99,9,Sunset Heights,Heights,625,1,1,,22
60428946,5406 1/2,Sheldon,B,Houston,1100,2,9,Sheldon,Heights,550,1,1,1,45
59496190,1811,Oxford,,Houston,1800,2,9,Houston Heights,Heights,899,2,1,1,159
54200048,1345,Cortlandt,,Houston,1500,2,9,Houston Heights,Heights,750,1,1,1,10
54805768,841,23rd,,Houston,2400,2,9,Sunset Heights,Heights,1203,2,2,1,40
1016253,602,29th,B,Houston,1100,2,9,Sunset Heights,Heights,550,1,1,1,32
27406324,2624 1/2,Morrison,,Houston,1500,2.01,9,Highland Park,Heights,745,2,1,1,158
66979916,1805,LAWRENCE,,Houston,1100,2.01,9,HOUSTON HEIGHTS,Heights,546,1,1,,79
18146605,709,18th,,Houston,1825,2.01,9,Pinelawn,Heights,906,2,1,1,2
12988504,1421,Cortlandt,,Houston,2295,2.02,9,Houston Heights,Heights,1136,2,1,1,16
85154094,1140,Dorothy,,Houston,2650,2.02,9,West Heights,Heights,1312,2,2,1,23
93986018,1123,17 street,B,Houston,2700,2.02,9,Shady Acres,Heights,1339,2,2.1,2,5
27139518,626,13th 1/2,,Houston,3500,2.02,9,Kutschback Add Supplemental,Heights,1730,3,2,1,7
32860539,1119,Oxford,B,Houston,1300,2.03,9,Houston Heights,Heights,640,1,1,1,23
93335785,1037,Oxford,,Houston,2750,2.03,9,Houston Heights,Heights,1353,2,2,1,23
40398144,831,25th,4,Houston,875,2.03,9,Houston Heights,Heights,430,1,1,1,26
45675200,831,25th,5,Houston,875,2.03,9,Houston Heights,Heights,430,1,1,1,12
74743700,831,25th,2,Houston,875,2.03,9,Houston Heights,Heights,430,1,1,1,0
18835102,831,25th,3,Houston,875,2.03,9,Houston Heights,Heights,430,1,1,1,24
10918357,735,Arlington,3,Houston,2300,2.03,9,Arlington Heights Condo,Heights,1134,2,2.2,2,38
15956848,402,Omar,,Houston,2400,2.03,9,Woodland Heights,Heights,1183,2,1,1,0
41017246,730,Studewood,A,Houston,1175,2.04,9,Norhill,Heights,575,1,1,1,181
5507108,602,29th,A,Houston,1225,2.04,9,Sunset Heights,Heights,600,1,1,1,109
33723241,217,12th,3,Houston,1350,2.05,9,Houston Heights,Heights,657,2,1,1,17
5986980,2805,Florence,,Houston,1995,2.07,9,Heights,Heights,966,2,2,1,69
84979170,1345,Nashua,,Houston,2000,2.07,9,Height/Greater Heights,Heights,968,2,2,1,41
64106485,1017,Lawrence,,Houston,2300,2.07,9,West Heights,Heights,1112,2,2,1,37
22096672,720,Temple,2,Houston,1000,2.07,9,EAST NORHILL,Heights,484,1,1,1,10
89927075,3517,Oak Ridge,,Houston,2900,2.08,9,Norhill,Heights,1396,2,2,1,14
90873313,1144,Nicholson,,Houston,950,2.08,9,Houston Heights Add,Heights,456,1,1,2,2
59019141,1032,Cottage,,Houston,2150,2.08,9,North Norhill,Heights,1036,2,1,1,66
40976406,203,24th,,Houston,1800,2.08,9,Houston Heights,Heights,864,2,1,1,3
68798260,824,Teetshorn,,Houston,2455,2.09,9,Woodland Terrace,Heights,1174,2,2,1,3
40974249,611,20th,A,Houston,2300,2.09,9,Houston Heights,Heights,1100,2,2,1,5
67395397,3531,Oak Ridge Street,,Houston,1495,2.1,9,Norhill Add,Heights,711,1,1,1,9
76012756,832,26th,,Houston,2400,2.1,9,Sunset Heights,Heights,1142,2,2,1,87
66168442,1447,Heights,223,Houston,1225,2.11,9,Melrose Park Condo,Heights,581,1,1,1,118
70378123,2219,Singleton,,Houston,2390,2.12,9,Gostick,Heights,1126,2,2,1,64
63359843,2005,Harvard,,Houston,2490,2.12,9,Houston Heights,Heights,1176,2,2,1,8
47170324,824,Yale,A,Houston,1425,2.12,9,Houston Heights,Heights,672,1,1,2,62
51165004,727,Temple,,Houston,2500,2.12,9,East Norhill,Heights,1182,3,1,1,5
72029685,140,Munford,,Houston,2700,2.13,9,Milroy Place,Heights,1270,2,2,1,2
81394551,1207,Tulane,,Houston,2000,2.14,9,Houston Heights,Heights,934,2,1,1,74
60080717,835,Heights,16,Houston,1250,2.14,9,Houston Heights,Heights,585,1,1,1,14
65666694,835,Heights,6,Houston,1250,2.14,9,Houston Heights,Heights,585,1,1,1,7
9347748,401,Northwood,,Houston,2300,2.14,9,Brooke Smith,Heights,1077,2,1,1,22
43264926,915,Columbia,,Houston,2650,2.15,9,Houston Heights,Heights,1232,2,1,2,13
4466908,715,13th,B,Houston,1395,2.15,9,Waverly Place,Heights,650,1,1,2,57
27740153,704,11th 1/2,,Houston,2350,2.15,9,Studes Sec Add,Heights,1092,2,2,1,77
77119789,302,25th,,Houston,1950,2.15,9,Sunset Heights,Heights,908,2,1,1,11
55851323,706,13th 1/2,,Houston,2295,2.17,9,Kutschbach,Heights,1056,2,1,1,90
17641865,434,Lenard,B,Houston,1095,2.19,9,Gabert,Heights,500,1,1,1,46
13951051,414,15th,,Houston,2450,2.19,9,Houston Heights,Heights,1120,2,1,1,53
11751505,2515,White Oak,,Houston,2200,2.2,9,Norhill Add,Heights,1000,2,1,1,19
34888985,930,Dorothy,,Houston,2495,2.2,9,West Heights,Heights,1136,3,1,1,4
28053109,721,16th,,Houston,2500,2.2,9,Pinelawn,Heights,1136,2,2,1,27
52139771,220,10th,,Houston,5500,2.2,9,Houston Heights,Heights,2500,4,3,1,17
10742276,640,Columbia Street,1/2A,Houston,1400,2.21,9,Houston Heights,Heights,634,2,1,1,14
11576339,731,Key,,Houston,3600,2.22,9,East Norhill Add,Heights,1620,3,2,1,17
20671585,6018,Norhill,,Houston,2100,2.23,9,Sunset Heights,Heights,941,2,1,1,11
7230320,1115,7th 1/2,,Houston,2900,2.23,9,Norhill Addition - Woodland Heights,Heights,1303,2,2,1,2
33768090,1027,Cottage,,Houston,2450,2.27,9,North Norhill,Heights,1078,3,1,1,29
95657480,1024,Studewood,A,Houston,1800,2.28,9,Norhill,Heights,790,2,2,1,250
36645560,809,23rd,,Houston,1700,2.28,9,Sunset Heights,Heights,744,2,1,1,19
20302967,769,16th,,Houston,2950,2.28,9,Pinelawn,Heights,1292,2,2,1,14
65098773,1131,7th 1/2,,Houston,2500,2.29,9,Norhill,Heights,1092,2,1,1,34
96769310,803,Dorothy,,Houston,2700,2.3,9,Harding Heights Ext,Heights,1176,3,2,1,79
91162192,2626,Columbia,,Houston,1900,2.31,9,Sunset Heights,Heights,824,2,1,1,50
71512239,835,Heights,24,Houston,1350,2.31,9,Houston Heights,Heights,585,1,1,1,2
11626353,617,Aurora,,Houston,2500,2.34,9,Sunset Heights,Heights,1068,2,2,1,19
2522227,1405,22nd,,Houston,6295,2.39,9,Cedar Heights,Heights,2632,4,3,2,12
54120844,933,Allston,,Houston,5800,2.39,9,Houston Heights,Heights,2424,3,2.1,2,16
21893447,309,12th ST,A,Houston,2150,2.39,9,Houston Heights,Heights,900,2,2,1,35
10840118,428,Cottage,,Houston,1500,2.4,9,Woodland Heights,Heights,624,1,1,1,13
53769053,1005,23rd,,Houston,1775,2.47,9,Sunset Heights,Heights,720,2,1,1,9
51327398,1214,Tulane,1,Houston,1500,2.5,9,Houston Heights,Heights,600,1,1,1,7
12917798,1123,7th,,Houston,2950,2.5,9,Norhill,Heights,1178,2,2,1,2
17287729,402,17th,A,Houston,1500,2.5,9,Houston Heights,Heights,600,1,1,1,13
20782194,4036,Oak Ridge,,Houston,3050,2.55,9,North Norhill,Heights,1197,2,2,1,5
73114046,845,Columbia,,Houston,1500,2.55,9,Houston Heights,Heights,588,1,1.1,1,40
26149950,415,Harvard,,Houston,2350,2.55,9,Houston Heights,Heights,922,2,1,1,24
71723523,1119,16th,,Houston,2895,2.58,9,North Norhill,Heights,1122,3,3,1,3
71234187,737,6th 1/2,,Houston,4300,2.58,9,Stude Sec 02,Heights,1664,3,2,1,26
83347121,210,24th,,Houston,2650,2.59,9,Milroy Place,Heights,1024,2,2,1,19
2478548,1524,Columbia A,,Houston,1150,2.61,9,Houston Heights,Heights,440,1,1,1,58
63591239,1035,7th 1/2,,Houston,2000,2.65,9,Kiam Place,Heights,756,2,1,1,25
91204457,606.5,8 1/2,,Houston,1200,2.67,9,Heights,Heights,450,1,1,2,63
49991947,713,Temple,,Houston,3200,2.68,9,East Norhill,Heights,1196,2,2,1,19
20499907,733,13th,,Houston,2600,2.71,9,Kutschbach,Heights,960,2,1,1,10
87925251,528,Frasier Street,,Houston,2600,2.73,9,Freeland,Heights,952,2,1,,31
72048245,1114,Herkimer,,Houston,1500,2.75,9,Houston Heights,Heights,545,1,1,,34
50782901,1405,Harvard,4,Houston,850,2.83,9,Houston Heights,Heights,300,1,1,,80
79963668,1026,19th,,Houston,3995,2.95,9,Shady Acres Ext Sec 03,Heights,1352,1,1,1,203
10347135,416,24th,,Houston,1200,3,9,Sunset Heights Add,Heights,400,1,1,2,5
34553373,1110,24th,A,Houston,1590,3.01,9,Sunset Heights,Heights,528,1,1,1,33
38373399,507,12th,,Houston,2300,3.04,9,Houston Heights,Heights,756,1,1,1,9
92096359,1018,Highland,,Houston,3995,3.25,9,NORHILL,Heights,1228,2,2.1,1,13
62706985,715,Ridge,,Houston,3500,3.26,9,Woodland Terrace,Heights,1074,2,1,1,10
66344805,1010,Lawrence,,Houston,3800,3.39,9,West Heights,Heights,1120,1,2,2,143
96219265,1110,24th,B,Houston,1550,3.52,9,Sunset Heights,Heights,440,1,1,1,25
93528793,1231,Yale,,Houston,750,5,9,Houston Heights,Heights,150,1,1,1,15
29856600,303,McGowen,,Houston,2950,0.83,16,Bremond Street T/H Sec 2,Midtown,3534,3,2.1,3,84
67651813,2807,Jackson,,Houston,1600,0.85,16,Holman Outlot 18,Midtown,1872,2,2,3,38
79732628,1814,Matthews,,Houston,2500,0.89,16,SUTTON-GILLETTE TOWNHOMES SE,Midtown,2799,3,3.1,3,11
2813167,2416,La Branch,,Houston,2300,0.91,16,Landing At La Branch T H,Midtown,2540,3,3.1,3,161
92666973,1905,Bailey,,Houston,2000,0.92,16,Sutton-Gillette T/H Sec 01,Midtown,2168,3,3,3,69
63679167,1610,Holman St,,Houston,2200,0.93,16,Holman Place,Midtown,2376,3,3.1,3,5
33463465,305,Stratford,1,Houston,1400,0.97,16,Avondale,Midtown,1450,2,1,2,20
9155271,3104,Hamilton,,Houston,2295,0.99,16,Midtown Park T H,Midtown,2310,3,3.1,2,37
95730190,2906,La Branch,,Houston,1800,0.99,16,BALDWIN SQUARE,Midtown,1814,2,2,3,61
65651321,1715,Francis,,Houston,2395,1.01,16,Chenevert Gardens,Midtown,2364,3,3.1,3,11
64379797,823,Robin,,Houston,2150,1.01,16,Crosby Street Square T H,Midtown,2130,3,2,3,2
73765505,2900,Hamilton,27,Houston,1850,1.02,16,Ellie Lofts,Midtown,1819,2,2.1,2,63
86682067,1421,Bremond,,Houston,2500,1.02,16,Landing At La Branch T H,Midtown,2461,3,3.1,3,117
86150177,901,Andrews,,Houston,2000,1.02,16,Andrews Street T/H,Midtown,1956,2,2,,55
7463339,831,Robin,,Houston,2200,1.03,16,Crosby Street Square T H,Midtown,2130,2,2,3,32
13226867,310,Bremond,,Houston,3650,1.03,16,Bremond Street T/H,Midtown,3534,3,2.1,3,252
50391892,2914,Jackson,,Houston,1895,1.04,16,Baldwin Court,Midtown,1822,2,2,3,10
28030072,305,Drew,,Houston,2450,1.05,16,FAIRGROUNDS 1,Midtown,2326,3,2.1,2,15
48607620,3501,Chenevert,24,Houston,1680,1.06,16,Chenevert Condos,Midtown,1585,2,2.1,2,59
54112723,1509,Sutton,,Houston,2100,1.06,16,Sutton-Gillette T/H Sec 07,Midtown,1980,3,2.1,3,50
52397502,3220,La Branch,,Houston,2500,1.07,16,Manors/La Branch,Midtown,2334,3,2.1,4,24
79473575,728,Andrews,,Houston,2000,1.07,16,CROSBY PLACE,Midtown,1872,2,2,3,43
97010022,306,Dennis,2,Houston,1500,1.07,16,Fairgrounds,Midtown,1400,2,1,1,179
71721672,1802,Wilson,,Houston,2350,1.08,16,Sutton-Gillette T/H Sec 06,Midtown,2168,3,3,3,15
77512080,1517,Drew,,Houston,2150,1.08,16,Crawford Court,Midtown,1996,3,3,3,15
41433541,1506,West Webster,,Houston,2250,1.08,16,SUTTON-GILLETTE T/H SEC 2,Midtown,2080,2,2,3,22
11786829,219,Stratford,C,Houston,975,1.08,16,Rogal 02,Midtown,900,1,1.1,2,40
20595382,1717,Webster,G,Houston,2950,1.09,16,Parker Lofts,Midtown,2699,3,3.1,3,20
88283607,1304,Truxillo,,Houston,2000,1.09,16,Empire,Midtown,1841,4,2,1,185
49425576,1213,Oneil,A,Houston,2100,1.09,16,NOT CODED,Midtown,1934,2,2.1,3,39
89267604,2913,Crawford,,Houston,2250,1.1,16,Baldwin Court,Midtown,2053,2,2,3,13
90154630,1833,Rosalie,,Houston,2295,1.1,16,Hamilton Court,Midtown,2094,3,3.1,3,41
88249666,811,Robin,,Houston,2350,1.1,16,CROSBY STREET SQUARE T/H R/P,Midtown,2130,2,2,3,6
67064631,412,Hadley,,Houston,3000,1.1,16,Mrm-Crm Settegast & Upham,Midtown,2719,3,3.1,3,48
29563770,403,Anita,13,Houston,1850,1.1,16,Lovett Square Condo,Midtown,1680,2,2.1,2,40
12184280,2819,Crawford,,Houston,1895,1.11,16,MIDTOWN LOFTS SEC 4,Midtown,1712,2,2,3,45
58303377,2815,La Branch,,Houston,1995,1.11,16,Holman Outlot 19 Prcl R/P,Midtown,1800,2,2,3,30
60502235,1722,Elgin,,Houston,2200,1.12,16,Elgin Square Twnhms,Midtown,1956,2,2,3,15
38144157,1706,Dennis,,Houston,2200,1.12,16,Dennis Street Twnhms,Midtown,1960,3,3,3,2
10480301,1410,Mcilhenny,,Houston,2600,1.12,16,Midtown,Midtown,2314,3,3.1,4,6
23452850,1311,Anita,,Houston,2400,1.12,16,Holman Outlot 30,Midtown,2146,3,3,3,77
24067880,2524,Chenevert,,Houston,2299,1.13,16,Waterhill Homes/Chenevert St,Midtown,2038,3,3.1,3,54
11545689,2522,Chenevert,,Houston,2299,1.13,16,Waterhill Hms/D Chenevert Stre,Midtown,2038,3,3.1,3,35
65204745,1925,Wilson,,Houston,2800,1.13,16,Oak Place Court Sec 08,Midtown,2473,3,3.1,3,96
26313839,1329,Mcilhenny,,Houston,2300,1.13,16,Mews At Mcilhenny Amd,Midtown,2038,3,3,3,12
94753885,128,Drew,,Houston,3000,1.13,16,Drew Gardens,Midtown,2652,3,3.1,4,15
17422109,3206,Jackson,2,Houston,1790,1.15,16,South End Lofts Condo Amd,Midtown,1550,2,2.1,3,30
28874002,2323,Crawford,,Houston,2600,1.15,16,City Promenade,Midtown,2257,3,3.1,3,12
43387866,2311,Crawford,,Houston,2600,1.15,16,City Promenade,Midtown,2257,3,3.1,3,40
