MLS_Number,Street_Number,Street_Name,Unit,City,Price,PSF,Area,Subdivision,Market_Area,Building_SF,Bedrooms,Baths,Stories,DOM
77503157,2508,Saltus,2,Houston,1100,0.63,4,Lubbock Grove,EADO,1740,2,1,2,33
15199873,228,Stiles,,Houston,1700,0.65,4,Engel,EADO,2622,3,3,2,25
25447832,11,Norwood,7,Houston,895,0.69,4,Fullerton Place,EADO,1300,3,1,1,40
67849055,1905,Sidney,A,Houston,1250,0.73,4,Eastwood,EADO,1716,3,1,2,128
42649467,109,Bryan,4,Houston,905,0.73,4,Oak Lawn,EADO,1244,2,1,2,48
83787872,1408,Dismuke,,Houston,650,0.74,4,Plaza Place,EADO,882,1,1,1,14
46331501,4421,Pease,,Houston,1500,0.81,4,EASTWOOD SUPPLEMENT,EADO,1862,3,2.1,2,28
53920500,1910,Eastwood,,Houston,1000,0.84,4,Eastwood,EADO,1188,1,1,1,30
42089197,5543,Truett,,Houston,1350,0.85,4,Plaza Place,EADO,1584,3,1,1,46
47256126,5108,Clay,,Houston,1395,0.85,4,EAST LAWN,EADO,1643,3,2,1,213
91799643,5306,Claremont,,Houston,600,0.88,4,Lawndale,EADO,680,1,1,1,9
95826134,1205,Nagle,,Houston,2000,0.88,4,Nagle Street Place,EADO,2274,2,2.1,3,69
55810241,6923,Avenue F,,Houston,1250,0.89,4,Central Park,EADO,1404,2,2,1,6
17196143,623,Live Oak,,Houston,3800,0.89,4,Bayou Sec 4,EADO,4280,4,4.1,4,150
10697720,120,drennan,2,Houston,1500,0.89,4,Brady J T,EADO,1689,2,2,2,8
4845017,2424,Navigation,B,Houston,1500,0.92,4,Ball Park Mews Condos,EADO,1624,2,2.1,3,70
23626112,1417,Paige,,Houston,1900,0.92,4,Bell Avenue Twnhms,EADO,2068,2,2.1,3,5
15887154,6842,Avenue L,A,Houston,1300,0.93,4,Central Park,EADO,1400,2,2,1,47
76491834,4620,Clay,B,Houston,825,0.93,4,EASTWOOD,EADO,885,2,1,2,12
